pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Glycerophospholipid metabolism	3	25	0.017141416687673303	E2,E201,E182	C02737,C15647,C06426/C06427	Phosphatidylserine$2-Acyl-1-(1-alkenyl)-sn-glycero-3-phosphate$(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid/(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate
Sialic acid metabolism	1	2	0.01722544324006386	E2	C02737	Phosphatidylserine
Saturated fatty acids beta-oxidation	1	2	0.01722544324006386	E207	C02990	L-Palmitoylcarnitine
Omega-3 fatty acid metabolism	1	4	0.034198806822956056	E182	C06426/C06427	(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid/(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate
Arachidonic acid metabolism	1	5	0.042937568271573814	E182	C06426/C06427	(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid/(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate
Linoleate metabolism	1	8	0.06755734812200656	E182	C06426/C06427	(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid/(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate
Squalene and cholesterol biosynthesis	1	8	0.06755734812200656	E14		
Fatty acid activation	1	8	0.06755734812200656	E182	C06426/C06427	(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid/(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate
Carnitine shuttle	1	9	0.07612805646584321	E207	C02990	L-Palmitoylcarnitine
De novo fatty acid biosynthesis	1	11	0.09226115452482984	E182	C06426/C06427	(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid/(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate
Vitamin A (retinol) metabolism	1	14	0.10789009326947316	E59		
Vitamin D3 (cholecalciferol) metabolism	0	3	0.16334761784723972			
Hyaluronan Metabolism	0	0	0.16334761784723972			
N-Glycan biosynthesis	0	0	0.16334761784723972			
Glycolysis and Gluconeogenesis	0	0	0.16334761784723972			
Glycosphingolipid biosynthesis - ganglioseries	0	0	0.16334761784723972			
R Group Synthesis	0	0	0.16334761784723972			
C5-Branched dibasic acid metabolism	0	0	0.16334761784723972			
Pyruvate Metabolism	0	0	0.16334761784723972			
Chondroitin sulfate degradation	0	0	0.16334761784723972			
Di-unsaturated fatty acid beta-oxidation	0	3	0.16334761784723972			
Putative anti-Inflammatory metabolites formation from EPA	0	0	0.16334761784723972			
Hexose phosphorylation	0	0	0.16334761784723972			
Vitamin B2 (riboflavin) metabolism	0	0	0.16334761784723972			
Galactose metabolism	0	0	0.16334761784723972			
Keratan sulfate degradation	0	0	0.16334761784723972			
Glycerolipid metabolism	0	0	0.16334761784723972			
3-oxo-10R-octadecatrienoate beta-oxidation	0	0	0.16334761784723972			
Alkaloid biosynthesis II	0	0	0.16334761784723972			
Vitamin B1 (thiamin) metabolism	0	0	0.16334761784723972			
Glycosphingolipid biosynthesis - globoseries	0	0	0.16334761784723972			
Histidine metabolism	0	2	0.16334761784723972			
Vitamin B5 - CoA biosynthesis from pantothenate	0	0	0.16334761784723972			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	1	0.16334761784723972			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.16334761784723972			
Bile acid biosynthesis	0	12	0.16334761784723972			
Parathio degradation	0	0	0.16334761784723972			
Propanoate metabolism	0	0	0.16334761784723972			
Blood Group Biosynthesis	0	0	0.16334761784723972			
Electron transport chain	0	0	0.16334761784723972			
Vitamin H (biotin) metabolism	0	3	0.16334761784723972			
Biopterin metabolism	0	0	0.16334761784723972			
Vitamin E metabolism	0	5	0.16334761784723972			
Androgen and estrogen biosynthesis and metabolism	0	0	0.16334761784723972			
Glycine, serine, alanine and threonine metabolism	0	5	0.16334761784723972			
Caffeine metabolism	0	0	0.16334761784723972			
Lipoate metabolism	0	3	0.16334761784723972			
Heparan sulfate biosynthesis	0	0	0.16334761784723972			
Drug metabolism - cytochrome P450	0	0	0.16334761784723972			
Vitamin B9 (folate) metabolism	0	0	0.16334761784723972			
Tryptophan metabolism	0	0	0.16334761784723972			
Glyoxylate and Dicarboxylate Metabolism	0	0	0.16334761784723972			
Urea cycle/amino group metabolism	0	4	0.16334761784723972			
Valine, leucine and isoleucine degradation	0	6	0.16334761784723972			
Fatty Acid Metabolism	0	6	0.16334761784723972			
Glycosaminoglycan degradation	0	0	0.16334761784723972			
Fatty acid oxidation	0	0	0.16334761784723972			
Fructose and mannose metabolism	0	0	0.16334761784723972			
ROS Detoxification	0	0	0.16334761784723972			
Xenobiotics metabolism	0	0	0.16334761784723972			
CoA Catabolism	0	0	0.16334761784723972			
Butanoate metabolism	0	6	0.16334761784723972			
Mono-unsaturated fatty acid beta-oxidation	0	1	0.16334761784723972			
Glycosphingolipid biosynthesis - neolactoseries	0	0	0.16334761784723972			
Vitamin B3 (nicotinate and nicotinamide) metabolism	0	1	0.16334761784723972			
Ascorbate (Vitamin C) and Aldarate Metabolism	0	1	0.16334761784723972			
Geraniol degradation	0	0	0.16334761784723972			
D4&E4-neuroprostanes formation	0	0	0.16334761784723972			
Vitamin D	0	1	0.16334761784723972			
Dynorphin metabolism	0	0	0.16334761784723972			
Heparan sulfate degradation	0	0	0.16334761784723972			
Fatty acid oxidation, peroxisome	0	0	0.16334761784723972			
Polyunsaturated fatty acid biosynthesis	0	0	0.16334761784723972			
Purine metabolism	0	1	0.16334761784723972			
Alanine and Aspartate Metabolism	0	1	0.16334761784723972			
Glutathione Metabolism	0	0	0.16334761784723972			
Keratan sulfate biosynthesis	0	0	0.16334761784723972			
TCA cycle	0	0	0.16334761784723972			
3-Chloroacrylic acid degradation	0	0	0.16334761784723972			
Sphingolipid metabolism	0	0	0.16334761784723972			
