SOURCE	TARGET	ENZYMES
C02990	C00318	;1.3.99.3;2.3.1.21;6.2.1.3
C02990	C00154	;2.3.1.16;1.3.3.6;3.1.2.22;1.3.1.38;6.2.1.3;2.3.1.86;2.3.1.21;2.3.-.-;3.1.2.2;2.3.1.50;1.14.19.1;1.3.99.3;1.3.99.13
C02990	C00010	;2.3.1.16;1.3.3.6;3.1.2.22;6.2.1.3;2.3.1.86;2.3.1.21;2.3.-.-;3.1.2.2;2.3.1.50;1.3.99.3
C00154	C06427	3.1.2.2;6.2.1.3
C00154	C06426	3.1.2.2;6.2.1.3
C00010	C06427	3.1.2.2;6.2.1.3
C00010	C06426	3.1.2.2;6.2.1.3
C06427	C06426	3.1.2.2;6.2.1.3
C06427	C16321	1.13.11.12
C06427	C05974	3.1.1.32
C06427	C06429	3.1.2.2
C06427	C00162	3.1.1.4;3.1.1.32
C06427	C16165	3.1.2.2
C06427	C00219	3.1.1.4;3.1.2.2;6.2.1.3
C06427	C16300	1.14.19.-
C06427	C00958	3.1.1.4
C06427	C06425	3.1.2.2;6.2.1.3
C06427	C00020	3.1.2.2;6.2.1.3
C06427	C04756	3.1.1.4
C06427	C03595	3.1.2.2;6.2.1.3
C06427	CE4809	6.2.1.3
C06427	C02050	3.1.1.4;3.1.2.2;1.13.11.12;6.2.1.3
C06427	C00060	3.1.1.4;3.1.1.32
C06427	C04785	1.13.11.12
C06427	C00412	3.1.2.2;6.2.1.3
C06427	C00157	3.1.1.4;3.1.1.32
C06427	C02041	3.1.2.2
C06427	C03035	3.1.2.2;6.2.1.3
C06427	C02249	1.14.19.-;3.1.2.2;6.2.1.3
C06427	C00350	3.1.1.4;3.1.1.32
C06427	C04230	3.1.1.4
C06427	C16169	3.1.2.2
C06427	C04635	3.1.1.4
C06427	C06254	3.1.1.4;3.1.1.32
C06427	C00712	3.1.2.2
C06427	C05212	3.1.1.4
C06427	C01595	3.1.1.4;3.1.2.2;1.13.11.12;6.2.1.3
C06427	C04317	3.1.1.4
C06427	C04438	3.1.1.4
C06427	C05973	3.1.1.32
C06427	C06428	3.1.2.2
C06427	C02737	3.1.1.4;3.1.1.32
C06427	lnlncacoa	6.2.1.3
C06427	C04517	3.1.1.4
C06427	C00249	3.1.2.2;6.2.1.3
C06427	C00510	3.1.2.2
C06427	C16162	3.1.2.2
C06427	C04233	3.1.1.32
C06427	C01530	3.1.2.2;6.2.1.3
C06427	C03242	3.1.2.2;6.2.1.3
C06426	C06429	3.1.2.2
C06426	C16165	3.1.2.2
C06426	C00219	3.1.2.2;6.2.1.3
C06426	C06425	3.1.2.2;6.2.1.3
C06426	C00020	3.1.2.2;6.2.1.3
C06426	C03595	3.1.2.2;6.2.1.3
C06426	C02050	3.1.2.2;1.14.19.3;6.2.1.3
C06426	C00412	3.1.2.2;6.2.1.3
C06426	C02041	3.1.2.2
C06426	C03035	3.1.2.2;1.14.19.3;6.2.1.3
C06426	C02249	3.1.2.2;6.2.1.3
C06426	C16169	3.1.2.2
C06426	C00712	3.1.2.2
C06426	C01595	3.1.2.2;1.14.19.3;6.2.1.3
C06426	C06428	3.1.2.2
C06426	C00249	3.1.2.2;6.2.1.3
C06426	C00510	3.1.2.2
C06426	C16162	3.1.2.2;1.14.19.3
C06426	C01530	3.1.2.2;6.2.1.3
C06426	C03242	3.1.2.2;6.2.1.3
C06426	C00028	1.14.19.3
C06426	C00030	1.14.19.3
C05974	C02737	3.1.1.32
C00162	C02737	3.1.1.4;3.1.1.32
C04756	C15647	3.1.4.4
C00060	C02737	;3.1.1.4;3.1.1.32
C00157	C02737	;3.1.1.4;3.1.4.4;3.1.1.32;2.7.8.-
C00350	C02737	;3.1.1.4;4.1.1.65;3.1.4.4;2.7.8.-;3.1.1.32
C05973	C02737	3.1.1.32
C02737	C04233	3.1.1.32
C02737	C00189	;2.7.8.8;3.1.4.4;2.7.8.-
C02737	C00055	;2.7.8.8;2.7.8.-
C02737	C00416	;3.1.4.4;3.1.1.32
C02737	C00338	;3.1.1.32
C02737	C00065	;3.1.1.4;4.2.1.22;4.1.1.65;3.1.4.4;2.7.8.-;6.1.1.11;2.6.1.51;4.3.1.17;3.1.3.3;2.7.8.8;2.3.1.50;4.3.1.19;3.1.1.32;2.1.2.1
C02737	G10621	;2.7.8.8;2.7.8.-
C02737	C00269	2.7.8.8;2.7.8.-
C02737	C00114	;2.7.8.8;3.1.4.4;2.7.8.-
C02737	CE7078	;3.1.1.4
