PEIPC
PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:4(5Z,8Z,11Z,14Z))
PC(18:3(9Z,12Z,15Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
PC(18:4(6Z,9Z,12Z,15Z)/22:5(4Z,7Z,10Z,13Z,16Z))
PC(18:4(6Z,9Z,12Z,15Z)/22:5(7Z,10Z,13Z,16Z,19Z))
PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:4(8Z,11Z,14Z,17Z))
PC(22:5(4Z,7Z,10Z,13Z,16Z)/18:4(6Z,9Z,12Z,15Z))
PC(22:5(7Z,10Z,13Z,16Z,19Z)/18:4(6Z,9Z,12Z,15Z))
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(6Z,9Z,12Z))
PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z))
PC(20:4(8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z))
PC(20:4(5Z,8Z,11Z,14Z)/20:5(5Z,8Z,11Z,14Z,17Z))
PC(18:3(6Z,9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
PE-NMe(22:5(4Z,7Z,10Z,13Z,16Z)/20:4(5Z,8Z,11Z,14Z))
PE-NMe(20:4(8Z,11Z,14Z,17Z)/22:5(7Z,10Z,13Z,16Z,19Z))
PE-NMe(20:3(8Z,11Z,14Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
PE-NMe(22:4(7Z,10Z,13Z,16Z)/20:5(5Z,8Z,11Z,14Z,17Z))
PE-NMe(20:3(5Z,8Z,11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
PE-NMe(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:3(5Z,8Z,11Z))
PE-NMe(20:4(8Z,11Z,14Z,17Z)/22:5(4Z,7Z,10Z,13Z,16Z))
PE-NMe(20:4(5Z,8Z,11Z,14Z)/22:5(4Z,7Z,10Z,13Z,16Z))
PE-NMe(22:5(4Z,7Z,10Z,13Z,16Z)/20:4(8Z,11Z,14Z,17Z))
PE-NMe(20:4(5Z,8Z,11Z,14Z)/22:5(7Z,10Z,13Z,16Z,19Z))
PE-NMe(20:5(5Z,8Z,11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z))
PE-NMe(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:3(8Z,11Z,14Z))
PE-NMe(22:5(7Z,10Z,13Z,16Z,19Z)/20:4(5Z,8Z,11Z,14Z))
PE-NMe(22:5(7Z,10Z,13Z,16Z,19Z)/20:4(8Z,11Z,14Z,17Z))
PS(15:0/21:0)
PS(21:0/15:0)
PS(19:0/17:0)
PS(17:0/19:0)
PS(16:0/20:0)
PS(18:0/18:0)
PS(22:0/14:0)
PS(20:0/16:0)
PS(14:0/22:0)
1,2-Distearoyl phosphatidyl serine
PC(20:5(5Z,8Z,11Z,14Z,17Z)/17:1(9Z))
PE(P-18:0/22:6(4Z,7Z,10Z,12E,16Z,19Z)(14OH))
PC(17:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))
PC(17:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))
PC(20:4(5Z,8Z,11Z,14Z)/17:2(9Z,12Z))
PE-NMe2(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))
PE-NMe2(18:3(9Z,12Z,15Z)/20:3(5Z,8Z,11Z))
PE-NMe2(18:3(6Z,9Z,12Z)/20:3(8Z,11Z,14Z))
PE-NMe2(20:3(5Z,8Z,11Z)/18:3(9Z,12Z,15Z))
PE-NMe2(16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))
PE-NMe2(18:4(6Z,9Z,12Z,15Z)/20:2(11Z,14Z))
PE-NMe2(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))
PE-NMe2(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z))
PE-NMe2(20:3(5Z,8Z,11Z)/18:3(6Z,9Z,12Z))
PE-NMe2(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:0)
PE-NMe2(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
PE-NMe2(18:3(9Z,12Z,15Z)/20:3(8Z,11Z,14Z))
PE-NMe2(20:2(11Z,14Z)/18:4(6Z,9Z,12Z,15Z))
PE-NMe2(20:3(8Z,11Z,14Z)/18:3(6Z,9Z,12Z))
PE-NMe2(22:5(4Z,7Z,10Z,13Z,16Z)/16:1(9Z))
PE-NMe2(20:5(5Z,8Z,11Z,14Z,17Z)/18:1(11Z))
PE-NMe2(20:3(8Z,11Z,14Z)/18:3(9Z,12Z,15Z))
PE-NMe2(20:4(8Z,11Z,14Z,17Z)/18:2(9Z,12Z))
PE-NMe2(18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))
PE-NMe2(18:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))
PE-NMe2(18:2(9Z,12Z)/20:4(8Z,11Z,14Z,17Z))
PE-NMe2(20:5(5Z,8Z,11Z,14Z,17Z)/18:1(9Z))
PE-NMe2(18:3(6Z,9Z,12Z)/20:3(5Z,8Z,11Z))
PE-NMe2(22:5(7Z,10Z,13Z,16Z,19Z)/16:1(9Z))
PC(15:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))
PE(22:2(13Z,16Z)/18:4(6Z,9Z,12Z,15Z))
PE(22:4(7Z,10Z,13Z,16Z)/18:2(9Z,12Z))
PE(18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))
PE(20:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))
PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0)
PE(18:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z))
