pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Vitamin D3 (cholecalciferol) metabolism	0	0	0.03537517855642383			
Hyaluronan Metabolism	0	0	0.03537517855642383			
N-Glycan biosynthesis	0	0	0.03537517855642383			
Glycolysis and Gluconeogenesis	0	0	0.03537517855642383			
Glycosphingolipid biosynthesis - ganglioseries	0	0	0.03537517855642383			
R Group Synthesis	0	0	0.03537517855642383			
C5-Branched dibasic acid metabolism	0	0	0.03537517855642383			
Pyruvate Metabolism	0	0	0.03537517855642383			
Sialic acid metabolism	0	1	0.03537517855642383			
Chondroitin sulfate degradation	0	0	0.03537517855642383			
Di-unsaturated fatty acid beta-oxidation	0	1	0.03537517855642383			
Putative anti-Inflammatory metabolites formation from EPA	0	0	0.03537517855642383			
Linoleate metabolism	0	3	0.03537517855642383			
Hexose phosphorylation	0	0	0.03537517855642383			
Vitamin B2 (riboflavin) metabolism	0	0	0.03537517855642383			
Squalene and cholesterol biosynthesis	0	0	0.03537517855642383			
Galactose metabolism	0	0	0.03537517855642383			
Keratan sulfate degradation	0	0	0.03537517855642383			
Glycerolipid metabolism	0	0	0.03537517855642383			
Carnitine shuttle	0	0	0.03537517855642383			
3-oxo-10R-octadecatrienoate beta-oxidation	0	0	0.03537517855642383			
Alkaloid biosynthesis II	0	0	0.03537517855642383			
Vitamin B1 (thiamin) metabolism	0	0	0.03537517855642383			
Glycosphingolipid biosynthesis - globoseries	0	0	0.03537517855642383			
Histidine metabolism	0	0	0.03537517855642383			
Vitamin B5 - CoA biosynthesis from pantothenate	0	0	0.03537517855642383			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	0	0.03537517855642383			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.03537517855642383			
Bile acid biosynthesis	0	4	0.03537517855642383			
Parathio degradation	0	0	0.03537517855642383			
Propanoate metabolism	0	0	0.03537517855642383			
Blood Group Biosynthesis	0	0	0.03537517855642383			
Electron transport chain	0	0	0.03537517855642383			
Vitamin H (biotin) metabolism	0	0	0.03537517855642383			
Biopterin metabolism	0	0	0.03537517855642383			
Vitamin E metabolism	0	0	0.03537517855642383			
Androgen and estrogen biosynthesis and metabolism	0	0	0.03537517855642383			
Glycine, serine, alanine and threonine metabolism	0	0	0.03537517855642383			
Caffeine metabolism	0	0	0.03537517855642383			
Lipoate metabolism	0	0	0.03537517855642383			
Heparan sulfate biosynthesis	0	0	0.03537517855642383			
Drug metabolism - cytochrome P450	0	0	0.03537517855642383			
Vitamin B9 (folate) metabolism	0	0	0.03537517855642383			
Tryptophan metabolism	0	0	0.03537517855642383			
Glyoxylate and Dicarboxylate Metabolism	0	0	0.03537517855642383			
Urea cycle/amino group metabolism	0	0	0.03537517855642383			
De novo fatty acid biosynthesis	0	12	0.03537517855642383			
Vitamin A (retinol) metabolism	0	2	0.03537517855642383			
Valine, leucine and isoleucine degradation	0	0	0.03537517855642383			
