pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Squalene and cholesterol biosynthesis	3	8	0.008906814553398874	E331,E12,E13	C05107/CE2321,C11455/C11508/44mctr/C15783,C11455/C11508/44mctr/C15783	7-Dehydrodesmosterol/cholesta-5,7,24-trien-3beta-ol$4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol/4alpha-Methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol; delta8,14 -Sterol/4,4-dimethylcholesta-8,14,24-trienol/5-Dehydroavenasterol$4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol/4alpha-Methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol; delta8,14 -Sterol/4,4-dimethylcholesta-8,14,24-trienol/5-Dehydroavenasterol
Vitamin E metabolism	2	5	0.01537685908747164	E15,E16	CE5022/CE5835/CE5842,CE5022/CE5835/CE5842	//13'-hydroxy-alpha-tocopherol$//13'-hydroxy-alpha-tocopherol
Ascorbate (Vitamin C) and Aldarate Metabolism	1	1	0.01722544324006386	E346	C00257/C00800	D-Gluconate/L-Gulonate
Pentose and Glucuronate Interconversions	1	1	0.01722544324006386	E346	C00257/C00800	D-Gluconate/L-Gulonate
Pentose phosphate pathway	1	1	0.01722544324006386	E346	C00257/C00800	D-Gluconate/L-Gulonate
Bile acid biosynthesis	3	12	0.02201495672632552	E93,E329,E330	C00695,C06341/C05458/C05453/CE5530/C05501/C15520/C15518/C05499/C05445,C05455/C01561	Cholate$7-alpha,27-Dihydroxycholesterol/7alpha,12alpha-Dihydroxy-5alpha-cholestan-3-one/7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one/7alpha,27-dihydroxycholesterol/20alpha,22beta-Dihydroxycholesterol; (22R)-20alpha,22-Dihydroxycholesterol/7-alpha,25-Dihydroxycholesterol/(24S)-Cholest-5-ene-3beta,7alpha,24-triol/17alpha,20alpha-Dihydroxycholesterol/3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al$7alpha-Hydroxycholest-4-en-3-one/Calcidiol; 25-Hydroxyvitamin D3; Calcifediol; Calcifediol anhydrous
Vitamin D3 (cholecalciferol) metabolism	1	3	0.0635240736072599	E330	C05455/C01561	7alpha-Hydroxycholest-4-en-3-one/Calcidiol; 25-Hydroxyvitamin D3; Calcifediol; Calcifediol anhydrous
Di-unsaturated fatty acid beta-oxidation	1	3	0.0635240736072599	E364		
De novo fatty acid biosynthesis	2	11	0.07814469372321653	E229,E364	,	$
Vitamin A (retinol) metabolism	2	14	0.10394084530711704	E57,E72	,	$
Fatty Acid Metabolism	1	6	0.10948659776489371	E364		
C21-steroid hormone biosynthesis and metabolism	1	6	0.10948659776489371	E329	C06341/C05458/C05453/CE5530/C05501/C15520/C15518/C05499/C05445	7-alpha,27-Dihydroxycholesterol/7alpha,12alpha-Dihydroxy-5alpha-cholestan-3-one/7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one/7alpha,27-dihydroxycholesterol/20alpha,22beta-Dihydroxycholesterol; (22R)-20alpha,22-Dihydroxycholesterol/7-alpha,25-Dihydroxycholesterol/(24S)-Cholest-5-ene-3beta,7alpha,24-triol/17alpha,20alpha-Dihydroxycholesterol/3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al
Linoleate metabolism	1	8	0.12940089068145533	E364		
Fatty acid activation	1	8	0.12940089068145533	E364		
Glycerophospholipid metabolism	1	25	0.16561633476178472	E364		
Hyaluronan Metabolism	0	0	0.16612049407612806			
N-Glycan biosynthesis	0	0	0.16612049407612806			
Glycolysis and Gluconeogenesis	0	0	0.16612049407612806			
Glycosphingolipid biosynthesis - ganglioseries	0	0	0.16612049407612806			
R Group Synthesis	0	0	0.16612049407612806			
C5-Branched dibasic acid metabolism	0	0	0.16612049407612806			
Pyruvate Metabolism	0	0	0.16612049407612806			
Sialic acid metabolism	0	2	0.16612049407612806			
Chondroitin sulfate degradation	0	0	0.16612049407612806			
Putative anti-Inflammatory metabolites formation from EPA	0	0	0.16612049407612806			
Hexose phosphorylation	0	0	0.16612049407612806			
Vitamin B2 (riboflavin) metabolism	0	0	0.16612049407612806			
Galactose metabolism	0	0	0.16612049407612806			
Keratan sulfate degradation	0	0	0.16612049407612806			
Glycerolipid metabolism	0	0	0.16612049407612806			
Carnitine shuttle	0	9	0.16612049407612806			
3-oxo-10R-octadecatrienoate beta-oxidation	0	0	0.16612049407612806			
Alkaloid biosynthesis II	0	0	0.16612049407612806			
Vitamin B1 (thiamin) metabolism	0	0	0.16612049407612806			
Glycosphingolipid biosynthesis - globoseries	0	0	0.16612049407612806			
Histidine metabolism	0	2	0.16612049407612806			
Vitamin B5 - CoA biosynthesis from pantothenate	0	0	0.16612049407612806			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	1	0.16612049407612806			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.16612049407612806			
Parathio degradation	0	0	0.16612049407612806			
Propanoate metabolism	0	0	0.16612049407612806			
